transition_sequence,end_simulation_time_s,dt_s,collision_this_step,perturbation_phase,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
102,4.062,0.025000000000000355,False,no_event,5.398209523940261e-08,5.398209523940261e-08,1.7753916742280595e-07,1.7753916742280595e-07,1.3488859626274033e-07,6.4170369284966e-06,1.7753919628091888e-07,2.3528025374862896e-06,0.0
103,4.089,0.027000000000000135,False,no_event,1.0306915499366734e-07,1.0306915499366734e-07,3.037573096768731e-07,3.037573096768731e-07,4.1984415906128845e-08,6.079896053279299e-07,3.03757309721119e-07,4.632295575522689e-06,0.0
104,4.116,0.026999999999999247,False,no_event,1.01284044264279e-07,1.01284044264279e-07,1.9541647901282373e-07,1.9541647901282373e-07,3.900619539128131e-08,5.835153444877506e-07,1.95416564531016e-07,3.0674661907120534e-06,0.0
105,4.14,0.02400000000000002,False,no_event,2.9260711187362176e-08,2.9260711187362176e-08,1.9233397528578882e-08,1.9233397528578882e-08,7.860885928530557e-08,3.5734063033032726e-06,1.9233482658730256e-08,2.3562889586312307e-07,0.0
106,4.172,0.03200000000000003,False,no_event,2.1733695376870124e-07,2.1733695376870124e-07,1.9593071271600184e-07,1.9593071271600184e-07,2.777350930051271e-07,1.2276395722210509e-05,1.9593065574979005e-07,3.285677084804847e-06,0.0
107,4.195,0.023000000000000576,False,no_event,2.659640898628885e-07,2.659640898628885e-07,1.6910746664434753e-08,1.6910746664434753e-08,2.401410384479781e-08,7.338466929240894e-06,1.6910746848153132e-08,2.552588954114684e-07,0.0
108,4.221,0.0259999999999998,False,no_event,7.394908152526509e-08,7.394908152526509e-08,3.433757495000673e-08,3.433757495000673e-08,1.384171290707934e-07,6.486557140306104e-06,3.433748969070447e-08,6.205205833645285e-07,0.0
109,4.245,0.02400000000000002,False,no_event,2.9215364349965967e-08,2.9215364349965967e-08,3.1431578094577485e-09,3.1431578094577485e-09,5.6039846821140065e-08,2.6218422846113754e-06,3.143185302243914e-09,4.460816678589876e-08,0.0
110,4.274,0.028999999999999915,False,no_event,1.4417211247064188e-07,1.4417211247064188e-07,1.4569337987741782e-08,1.4569337987741782e-08,1.460185529817414e-07,6.9670633493501555e-06,1.456933788782685e-08,2.5114460863538493e-07,0.0
111,4.3,0.0259999999999998,False,no_event,7.481777686280111e-08,7.481777686280111e-08,8.458528150863194e-09,8.458528150863194e-09,1.0655718204888648e-07,5.05315925636296e-06,8.458585023838927e-09,1.555271914046569e-07,0.0
112,4.331,0.031000000000000583,False,no_event,1.8968445658632614e-07,1.8968445658632614e-07,2.042924614989959e-09,2.042924614989959e-09,1.090679628033087e-07,5.57732742834105e-06,2.0428388041248697e-09,3.9613556332794e-08,0.0
113,4.359,0.02799999999999958,False,no_event,1.2102881896680628e-07,1.2102881896680628e-07,2.3935631046731315e-09,2.3935631046731315e-09,5.1871030189052205e-09,1.4826393410771743e-06,2.39330690683162e-09,4.203475387297125e-08,0.0
114,4.388,0.028999999999999915,False,no_event,1.4397453185210907e-07,1.4397453185210907e-07,1.8744403506509085e-09,1.8744403506509085e-09,9.853185380999304e-08,4.784474654684345e-06,1.8745538609497127e-09,3.337504797868107e-08,6.832705871378571e-22
