start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
41,79,1.0,1.0130000000000003,39,2,0,3.1419808692589868e-06,1.0261666432143102e-06,7.084959913837742,42.43070653763561
41,97,1.5,1.5,57,3,0,1.7602526143608534e-06,1.6736915795059402e-06,0.2885865754462973,2.1799462214202663
42,61,0.5,0.5249999999999999,20,1,0,1.6449164377263514e-06,1.2825030637486634e-06,54.93287282021035,262.32118883092494
42,80,1.0,1.0149999999999997,39,2,0,3.090624772994488e-06,4.048000405987295e-06,6.052224584964839,38.249456287643724
42,98,1.5,1.5,57,3,0,1.7397803977754443e-06,4.1004728946841743e-07,0.24253765255090937,1.8419556650871698
43,61,0.5,0.5009999999999999,19,1,0,1.6392787074437365e-06,1.282480582176504e-06,54.93287282021035,262.32118883092494
43,81,1.0,1.0139999999999998,39,2,0,3.1619053970644018e-06,4.730846399070288e-06,5.259679178293811,34.45849465680463
43,99,1.5,1.501,57,3,0,1.7412662230871753e-06,2.0930557525446116e-06,0.2036464201884246,1.555648029742656
44,62,0.5,0.5020000000000002,19,1,0,1.8064071127810166e-06,1.2231853645516821e-06,48.70703037449946,230.5867552358697
44,82,1.0,1.016,39,2,0,3.023502017640567e-06,8.420588400781526e-06,4.422949558222981,29.883200371009448
44,100,1.5,1.5020000000000002,57,3,0,1.8063145321954475e-06,5.125017486850154e-06,0.16866921635414708,1.295449083129057
45,63,0.5,0.5020000000000002,19,1,0,1.9216490727558266e-06,5.984238100609218e-07,43.40568683796541,203.89782709379273
45,83,1.0,1.0170000000000003,39,2,0,2.8059096166543895e-06,1.0251568646424403e-05,3.7271593884653256,25.77000605944248
45,101,1.5,1.5020000000000002,57,3,0,1.8479761831601765e-06,1.5500677028373591e-06,0.14044355180317183,1.0856003512625136
46,64,0.5,0.5030000000000001,19,0,0,2.053351067843323e-06,5.433230967355485e-07,38.55518524625855,179.64820553393906
46,84,1.0,1.02,39,1,0,2.564590658948873e-06,1.0100153033931747e-05,3.0955340780319935,21.78018281633664
46,102,1.5,1.501,57,2,0,1.8916176400505908e-06,2.7432044966104423e-06,0.11755663180667676,0.9154755823350342
47,65,0.5,0.5059999999999998,19,0,0,2.1236838847471518e-06,4.4148583810965647e-07,2.2038577212830607e-05,2.8851120248418738e-05
47,85,1.0,1.0230000000000001,39,1,0,2.2992352342043887e-06,8.775234160651735e-06,3.90434391777125e-06,2.3792529390220807e-05
47,103,1.5,1.5030000000000001,57,2,0,1.8704822225158712e-06,2.6092527246502977e-07,4.9766979530628674e-06,2.9669441204305258e-05
48,66,0.5,0.5060000000000002,19,0,0,2.273942072861246e-06,2.2298550561572483e-07,2.082945642557019e-05,2.6859269524948104e-05
48,86,1.0,1.0250000000000004,39,1,0,2.1858085119674797e-06,6.843015370350258e-06,3.2869892467683235e-06,2.010987043643553e-05
48,104,1.5,1.504,57,2,0,1.9792731627012743e-06,1.7379644496151732e-06,5.451169538222352e-06,2.0126994826341615e-05
49,67,0.5,0.5060000000000002,19,0,0,2.213642460446863e-06,1.5968865341164928e-07,1.9419400457753758e-05,2.6449585142529486e-05
49,86,1.0,1.0000000000000004,38,1,0,2.0655901380450814e-06,6.8430138746577995e-06,3.2176493634912384e-06,1.9613673257090625e-05
49,105,1.5,1.5020000000000002,57,2,0,2.0037407010005926e-06,1.6413168207267033e-06,5.786236648360167e-06,2.4640695102107202e-05
